ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.InscribirCurso	inscribircurso	1591034731304	 	3.3.1
USER	InscribirCurso	167	START	1591034747454	1591034747454
REQUEST	167		Home	1591034747455	1591034747461	OK	 
REQUEST	112		IniciarSesion	1591034747469	1591034747472	OK	 
USER	InscribirCurso	168	START	1591034747538	1591034747538
REQUEST	168		Home	1591034747539	1591034747542	OK	 
REQUEST	113		IniciarSesion	1591034747560	1591034747563	OK	 
USER	InscribirCurso	169	START	1591034747629	1591034747629
REQUEST	169		Home	1591034747630	1591034747635	OK	 
REQUEST	114		IniciarSesion	1591034747651	1591034747656	OK	 
USER	InscribirCurso	170	START	1591034747721	1591034747721
REQUEST	170		Home	1591034747722	1591034747726	OK	 
